german;english;level;example;example_en;rank
schwimmen;to swim|to transport by floating;B2;Er ist mit seinem Bruder im Meer geschwommen.;He swam in the sea with his brother.;1720
matt;dull|exhausted|weak|feeble;B2;Wenn du auf diese Weise spielst, wirst du nach zehn Zügen matt sein.;If you play like that, you'll be checkmated in ten moves.;1721
das Matt;mate|checkmate;B2;;;1722
innerhalb;within|inside|in the space of;B2;innerhalb von zwei Jahren;within two years;1723
blind;blind|cloudy;B2;blind auf einem Auge;blind in one eye;1724
schlau;bright|intelligent|clever;B2;Tom und Maria wohnen in einem „schlauen Haus“.;Tom and Mary live in a smart home.;1725
die Absicht;intention|intent;B2;Es war nicht unsere Absicht ihn zu überfallen.;We didn't intend to attack him.;1726
zuletzt;finally|lastly|in the end|recently|the other day;B2;Ich war zuerst in Aachen, dann in Düsseldorf und zuletzt in Köln.;I was in Aachen first, then in Düsseldorf, and finally in Cologne.;1727
englisch;English|rare;B2;Der Lehrer schrieb englische Sätze an die Tafel.;The teacher wrote English sentences on the blackboard.;1728
der Schüler;pupil|student|schoolboy|disciple;B2;Der Lehrer zeigte die Fehler des Schülers auf.;The teacher pointed out the pupil's mistakes.;1729
schienen;to splint;B2;Sie schienen ein sehr wichtiges Thema zu besprechen.;They seemed to be discussing a matter of great importance.;1730
merkwürdig;strange|odd;B2;Noch nie hatte ich so einen merkwürdigen Traum.;Never have I dreamed such a strange dream.;1731
die Größe;size|height|greatness|quantity;B2;Die Weide hat eine Größe von 10 Morgen.;The pasture has an area of 10 acres.;1732
der Tritt;step|kick;B2;Das ist wie ein Tritt in die Eier.;That's like a kick in the nuts.;1733
trauen;to trust|to marry|to dare|to have the courage;B2;"Allerdings kann man Mädels nicht trauen, wenn sie das Wort ""niedlich"" in den Mund nehmen.";"However, you can't trust girls when they use the word ""cute"".";1734
der Trick;trick|ruse|gimmick;B2;Die Kinder amüsierten sich sehr über seine Tricks.;The children were very amused with his tricks.;1735
die Rote;female Red;B2;Sie war Mitglied in der Roten Armee Fraktion.;She was a member of the Red Army Faction.;1736
überlegt;considerate|deliberate|considerately|deliberately;B2;Er redet ruhig und überlegt.;He talks calmly and with consideration.;1737
der Sonntag;Sunday;B2;Wir müssen das Spiel auf nächsten Sonntag verschieben.;We have to put off the game till next Sunday.;1738
die Zwölf;twelve|a dozen;B2;Wie oft geht die Vier in die Zwölf?;How many times does four go into twelve?;1739
die Vorstellung;idea|image|representation|introduction|presentation;B2;Um wie viel Uhr ist die nächste Vorstellung?;What time is the next performance?;1740
reinkommen;to come in;B2;Als er reinkam, las ich gerade einen Brief.;I had been reading a letter when he came in.;1741
der Schrieb;something written;B2;;;1742
der Killer;killer|murderer;B2;Was hat Sami zu einem Killer gemacht?;What turned Sami into a killer?;1743
killern;to tickle;B2;;;1744
die Unterstützung;support|assistance|backing|also endorsement|that which supports;B2;Er hielt eine Rede zur Unterstützung des Projekts.;He made a speech in support of the plan.;1745
die Rechnung;bill|restaurant bill|a reckoning|calculation|invoice;B2;Nach dem Essen bat ich um die Rechnung.;After the meal, I asked for the bill.;1746
möglicherweise;possibly|potentially|perhaps|conceivably;B2;Möglicherweise wird er längere Zeit auf Hainan verbringen.;It's possible he will spend more time in Hainan.;1747
definitiv;definitive|conclusive|decisive|definite|certain|undoubtable;B2;Ich gehe definitiv nicht zurück nach Boston.;I'm definitely not going back to Boston.;1748
locker;loose|relaxed|loosely|relaxedly|casually|easily;B2;Es waren locker hundert Leute auf der Party.;There were easily a hundred people at the party.;1749
lockern;to loosen|to ease|to relax;B2;Er scheint ein paar Schrauben locker zu haben.;He seems like he's got a few screws loose.;1750
abends;in the evening|at night|see Abend|p.m;B2;von morgens bis abends;from morning to night;1751
frisch;fresh|recent|freshly|newly;B2;Die Polizei hat ihn auf frischer Tat ertappt.;The police caught him at it.;1752
frischen;to farrow;B2;Das Ereignis ist mir noch frisch in Erinnerung.;The event is still fresh in my memory.;1753
die Kohle;coal|a coal|a piece of coal|money|dough|dosh;B2;Schnapp dir die Kohle, bevor die Bullen kommen!;Take the money before the police come!;1754
der Kohl;cabbage;B2;Was ist der Unterschied zwischen Kohl und Salat?;What's the difference between cabbage and lettuce?;1755
huren;to whore;B2;;;1756
die Hure;whore|slut|fornicatrix|fornicator;B2;Der Kapitän, seine Hure, Frauen und Kinder zuerst!;The captain, his whore, women and children first!;1757
der Cousin;male cousin;B2;Wenn ich mich recht erinnere, sind sie Cousins.;They are cousins, if I remember rightly.;1758
einsam;lonely|lone;B2;Diese Stadt ist kalt und einsam ohne dich.;This city is cold and lonely without you.;1759
lebendig;living|alive|animate|lively|vivacious|spirited;B2;Die Mücken fressen dich bei lebendigem Leibe auf!;The mosquitoes will eat you alive.;1760
knapp;scarce|lean|somewhat less|short or tight|narrowly|just;B2;Das war knapp. Wir wären fast abgestürzt!;That was close. We nearly crashed!;1761
ebenfalls;also|likewise|as well;B2;Dieses Wörterbuch kann dir ebenfalls von Nutzen sein.;This dictionary can also help you.;1762
der Artikel;article|item|ware|paragraph|clause;B2;Der Autor dieses Artikels ist ein bekannter Kritiker.;The author of this article is a famous critic.;1763
jederzeit;anytime;B2;Wir sollten uns jederzeit an das Gesetz halten.;We should always act in obedience to the law.;1764
kompliziert;complicated|complex|sophisticated;B2;Es wird tatsächlich immer komplizierter, einfach zu leben.;It's actually getting more and more complicated to live simply.;1765
komplizieren;to complicate;B2;Frauen finden, dass Männer oft sehr kompliziert sind.;Women feel that men are often very complicated.;1766
spüren;to sense|to detect|to perceive;B2;Warte! Ich spüre Gefahr.;Wait! I sense danger.;1767
der Stich;sting|prick|stitch|stab|trick|engraving;B2;Er wurde von seinen Freunden im Stich gelassen.;He was deserted by his friends.;1768
stechen;to be sharp|to stick out|to stick|to poke|to sting|to bite;B2;Seid vorsichtig! Ihr stecht hier in ein Hornissennest.;Be careful. You're going to stir up a hornet's nest.;1769
das Kino;cinema;B2;Kinos machen wegen der Internetpiraterie immer mehr Verlust.;Movie theaters are losing more and more revenue due to internet piracy.;1770
probieren;to try|to taste|to sample;B2;Sie probierten alles, um an Geld zu kommen.;They did everything in order to make money.;1771
wundervoll;wonderful;B2;An der Küste empfing mich ein wundervoller Sonnenuntergang.;I was greeted on the coast by a wonderful sunset.;1772
der Tanz;dance;B2;Die Jungen und Mädchen bildeten zum Tanz Paare.;The boys and girls paired off for the dance.;1773
geöffnet;open;B2;Die Ausstellung wird noch einen Monat geöffnet sein.;The exhibition will be open for another month.;1774
begraben;to bury;B2;Ich habe meinen Hund auf dem Haustierfriedhof begraben.;I buried my dog at the pet cemetery.;1775
das Prozent;percent;B2;Sie besitzt 10 Prozent Anteil an dieser Firma.;She owns a ten-per-cent share in this company.;1776
stopfen;to stuff|to plug|to darn;B2;Der Junge stopfte das Geld in seine Tasche.;The boy thrust the coin into his pocket.;1777
die Hoheit;Highness|sovereignty|supremacy;B2;Ihre Hoheit lächelte, als sie der Menge zuwinkte.;Her Highness smiled as she waved to the crowd.;1778
der Riese;giant;B2;Die Riesen treten morgen gegen die Drachen an.;The Giants play the Dragons tomorrow.;1779
der Zugang;access|admission|intake|entrance;B2;Alle Studenten der Universität haben Zugang zur Universitätsbibliothek.;All the students of the university have access to the university library.;1780
aufmachen;to open|to open for business|to get ready|to set out;B2;Kannst du dieses Glas aufmachen?;Can you open this jar?;1781
die Erlaubnis;permission;B2;Du musst bei deinem Lehrer um Erlaubnis bitten.;You have to ask for permission from your teacher.;1782
die Story;plot|sensational story|cover story;B2;Die zahlreichen Rückblenden machen es schwer, der Story zu folgen.;The numerous flashbacks make it difficult to follow the plot.;1783
der Leichter;lighter|barge;B2;Leichter gesagt als getan.;Easier said than done.;1784
der Priester;priest;B2;Was zum Henker weiß ein Priester schon davon?;What the hell does a priest know about that?;1785
der Pack|das Pack;package|bundle|bunch|bag;B2;Pack deinen Schlafsack ein! Wir gehen zelten, Sohn!;Pack your sleeping bag, we're going camping, son!;1786
packen;to pack|to get packed|to grab|to grip|to take|to manage;B2;Du musst deine Sachen packen.;You need to pack your stuff.;1787
der Packen;pack|bunch|bundle|stack;B2;Kannst du mir am Samstag beim Packen helfen?;Could you give a me hand packing on Saturday?;1788
dritte;third;B2;Wir werden dieses Problem im dritten Kapitel behandeln.;We will deal with this problem in Chapter Three.;1789
inzwischen;since then|by now|in the meantime;B2;Inzwischen hat sie ihr Studium abgeschlossen.;She has completed her studies by now.;1790
die Presse;press;B2;Die rechtsgerichtete Presse ist kein Freund der BBC.;The right-wing press is no friend of the BBC.;1791
pressen;to press|to push|to strain oneself;B2;Mit einer Heupresse wird Heu in Ballen gepresst.;A baler is used to compress hay into bales.;1792
klauen;to steal;B2;Tolle Idee, die werde ich klauen!;Great idea, I'm gonna steal that!;1793
die Bühne;stage|scaffolding;B2;auf der internationalen Bühne / auf internationaler Bühne;on the international stage;1794
die Geduld;patience;B2;Sie wartete mit großer Geduld, bis sie endlich an der Reihe war.;She waited very patiently, until finally it was her turn.;1795
gedulden;to be patient;B2;Keinerlei Abweichung von den Vorschriften wird geduldet werden.;No deviation from the regulations will be tolerated.;1796
reparieren;to repair;B2;Wenn Sie wollen, repariere ich Ihnen Ihre Spüle.;I'll fix your sink for you if you want.;1797
die Gerechtigkeit;justice;B2;Tom wollte keine Gerechtigkeit – er wollte Rache.;Tom didn't want justice. He wanted revenge.;1798
selten;rare|infrequent|uncommon|scarce|unusual|curious;B2;Er ist selten unfreundlich.;He’s rarely ever unfriendly.;1799
unterschreiben;to sign;B2;Unterschreiben Sie bitte auf der punktierten Linie.;Please sign on the dotted line.;1800
drücken;to press|to push|to exert pressure|to click|to squeeze|to hug;B2;Drück diesen Knopf nicht!;Don't press that button!;1801
der Lügner;liar;B2;Nur unter uns gesagt, er ist ein Lügner.;Just between you and me, he is a liar.;1802
die Medizin;medicine;B2;In der Medizin gibt es viele Stellen.;There are a lot of jobs in medicine.;1803
der Prozess;lawsuit|process|procedure;B2;Meine Freunde standen mir bei während des Prozesses.;My friends stood by me during the court case.;1804
der Samstag;Saturday;B2;Die Straßen von Tōkyō sind des Samstags voll.;The streets in Tokyo are full on Saturdays.;1805
der Motor;engine;B2;Der Motor des Autos hatte unterwegs eine Panne.;The car's engine broke down on the way.;1806
die Marie;money;B2;Es war Marie Curie, die die Radioaktivität entdeckte.;It was Marie Curie who discovered radioactivity.;1807
die Schönheit;beauty|beautifulness;B2;Viele Dichter schreiben über die Schönheit der Natur.;Many poets write about the beauties of nature.;1808
abhauen;to cut off|to leave abruptly|to do a runner|to crack up|to laugh one's head off;B2;Ich hau jetzt ab.;I'm taking off now.;1809
beinahe;almost|nearly;B2;In dieser Stadt gibt es beinah keine Gewalt.;There is almost no violence in that city.;1810
anhalten;to stop|to continue|to last|to hold|to keep from moving|to urge;B2;Wir müssen an der roten Ampel anhalten.;We have to stop at the red light.;1811
der Anhalt;indication;B2;Er gab ihnen ein Zeichen zum Anhalten.;He signaled them to stop.;1812
der Hof;yard|court|courtyard|farmyard|farm|agricultural enterprise;B2;Der Hof hinter unserm Haus ist mit Schiefer gepflastert.;The yard behind our house is paved with slate.;1813
fremd;strange|foreign|external;B2;Ich bin ganz allein in einem fremden Land.;I am all alone in a foreign country.;1814
der Fremder;stranger|foreigner;B2;Mitten in der Nacht stand ein Fremder vor der Tür und sagte, dass wir die Polizei rufen müssen.;In the middle of the night there was a stranger at the door who said we had to call the police.;1815
die Fremde;foreign land;B2;Der Fremde forderte Tom zu einem Straßenkampf heraus.;The stranger challenged Tom to a streetfight.;1816
akzeptieren;to accept|to approve|to take|to agree to;B2;Die neue Schülerin wurde von ihren Mitschülern anfangs nicht akzeptiert.;The new student was not accepted by her classmates at first.;1817
der Norden;north;B2;Lincoln Park ist ein Stadtviertel im Norden Chicagos.;Lincoln Park is a neighborhood on the North Side of Chicago.;1818
anziehen;to senses related to dressing;B2;Ich ziehe mich an.;I’m getting dressed.;1819
umgehen;to avoid|to bypass|to go around|to handle|to deal with|to go around );B2;Sie wollten die Stadtmitte umgehen.;They wanted to avoid [going through] the middle of town.;1820
der Bauch;abdomen|belly;B2;Mein Bauch tut mir so weh!;My belly hurts so bad!;1821
gesamt;total|whole|entire|overall|big;B2;Die Räuber stahlen das gesamte Geld im Tresor.;The robbers made away with all the money in the safe.;1822
ertragen;to bear|to stand|to endure|to take|to suffer|to tolerate;B2;Ich kann die neue Freundin von meinem Bruder nicht ertragen.;I can’t stand my brother’s new girlfriend.;1823
die Kiste;chest|box|crate|case|bed|sleeping furniture;B2;Diese leeren Kisten nehmen zu viel Platz weg.;These empty boxes take up too much space.;1824
brennen;to burn|to light on fire|to be on fire|to be lit|to be on;B2;Ich beobachtete, wie das Haus brannte.;I watched the house burn.;1825
die Deckung;cover|coverage;B2;Tom ging hinter einer Mülltonne in Deckung.;Tom took cover behind a dumpster.;1826
der Berg;a mountain|hill;B2;Am Fuße des Berges steht eine alte Burg.;There is an old castle at the foot of the mountain.;1827
aufnehmen;to pick up|to lift up|to receive|to accommodate|to take in|to admit;B2;Wenn du die Tüte aufnimmst, achte darauf, dass du die Unterseite abstützt.;When you pick up the bag, make sure to support the bottom.;1828
aufgenommen;recorded|incorporated|absorbed;B2;Wieso hast du nicht deine eigene Stimme aufgenommen?;Why didn't you record your own voice?;1829
